"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C7,C9,C10,C14","5","10u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C2,C5,C6,C8,C11,C15","6","1u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C3,C4,C16,C17,C18,C20,C21,C23,C24,C25,C27,C28,C29,C30,C31,C32","16","0.1u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C12,C13","2","15p","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C19","1","2.2u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C22","1","22n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"D4,D5,D9","3","BAT54C","","","","Package_TO_SOT_SMD:SOT-23_Handsoldering","http://www.diodes.com/_files/datasheets/ds11005.pdf"
"D6,D7,D8","3","SMBJ5.0CA","","","","Diode_SMD:D_SMB_Handsoldering","https://static.chipdip.ru/lib/863/DOC025863762.pdf"
"DA1","1","K7803-500R3","","","","Package_SIP:SIP3_11.6x8.5mm","https://static.chipdip.ru/lib2/a/365/DOC066365680.pdf"
"DD1","1","STM32F401RCTx","","","","Package_QFP:LQFP-64_10x10mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32f401rc.pdf"
"DD2","1","MPU-6050","","","","Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm","https://invensense.tdk.com/wp-content/uploads/2015/02/MPU-6000-Datasheet1.pdf"
"DD3","1","BMP280","","","","Package_LGA:Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering","https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BMP280-DS001.pdf"
"F1","1","MF-MSMF110-2","","","","Fuse:Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder",""
"J1,J6","2","Conn_01x04_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"J2,J3,J4,J5","4","Conn_01x03_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal",""
"J7","1","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal",""
"J8","1","Conn_01x06_Pin","","","","Connector_Hirose:Hirose_DF13-06P-1.25DSA_1x06_P1.25mm_Vertical",""
"J9,J10","2","Conn_01x02_Pin","","","","Connector_Hirose:Hirose_DF13-02P-1.25DSA_1x02_P1.25mm_Vertical",""
"L1,L2","2","BLM21PG121SN1D","","","","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","https://www.chipdip.ru/product/blm21pg121sn1d-120-om-3a-0805-drossel-podavleniya-murata-9000180593?ysclid=mpka56hp4h115790304"
"R1,R2,R3,R11","4","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R4,R5,R6,R7,R8","5","3.3k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R9","1","3k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R10","1","1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"U1","1","LM66100DCK","","","","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://www.ti.com/lit/ds/symlink/lm66100.pdf"
"U2","1","XC6206P332MR","","","","Package_TO_SOT_SMD:SOT-23_Handsoldering",""
"U3","1","Ai-Thinker-Ra-01","","","","RF_Module:Ai-Thinker-Ra-01-LoRa","http://wiki.ai-thinker.com/_media/lora/docs/c047ps01a1_ra-01_product_specification_v1.1.pdf"
"U4","1","MCP6001-OT","","","","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","https://ww1.microchip.com/downloads/en/DeviceDoc/MCP6001-1R-1U-2-4-1-MHz-Low-Power-Op-Amp-DS20001733L.pdf"
"VD1,VD2,VD3,VD4,VD5,VD6,VD7,VD8,VD9","9","GSOT03C-E3-08","","","","Package_TO_SOT_SMD:SOT-23_Handsoldering","https://www.chipdip.ru/product/gsot03c-e3-08-ustroystvo-zaschity-ot-esd-zaschitnyy-umw-9001633932?utm_source=direct&utm_medium=cpc&utm_campaign=Y_dinamicheskaya_max_conv&utm_content=text1_ya&utm_term=---autotargeting&position_type=dynamic_places&etext=&yclid=11292835086090895359&ybaip=1"
"Y1","1","X322525MQB4SI","","","","Oscillator:Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm","https://cdn.promelec.ru/upload/items/2023/03/10/YSX321SL.pdf"
